artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,track_duration_ms,explicit,track_number,disc_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
キャットミュージック 贅沢,音(眠っている猫),4pTsVSe4SlZ12whLRdnWg9,0,ヒップ-眠っている猫,1uAuaKKhlGvkgQCJGjxXAn,2021-05-20,album,123437,False,2,1,0.687,0.263,4,-15.059,1,0.0427,0.742,0.878,0.103,0.42,139.977,3LN2zO942RuodX5gvuhArY,spotify:artist:3LN2zO942RuodX5gvuhArY,[],0
优秀的 冥想音乐,抚慰的伸展运动回忆,6WmDsk7C7tIgTonsv9viGS,0,严重睡觉周围环境,1Z7IoKFn4oDSns06PwDtAy,2021-03-01,album,154366,False,5,1,0.601,0.0819,0,-19.716,1,0.0313,0.911,0.948,0.111,0.189,112.126,0CHAr64WOh02MPn7mlPAKd,spotify:artist:0CHAr64WOh02MPn7mlPAKd,[],0
Jazz Quartet Lounge,Subtle Tenor Saxophone Solo - Vibe for Fine Dining Restaurants,2wgsQtYPbDF5nnY0LPllBv,0,Music for Steak Lunches (Vibraphone and Tenor Saxophone),2vqY0CN8jL1XCetQ1Yq1gQ,2021-05-06,album,121765,False,8,1,0.549,0.205,2,-14.468,0,0.0579,0.959,0.865,0.113,0.482,71.571,3zXoY8Ui4fJgSpU3IygsMK,spotify:artist:3zXoY8Ui4fJgSpU3IygsMK,[],0
Roi Keidar,Him & Her,2jqgMaMoZVTgyhooudiIEp,0,Him & Her (Original Motion Picture Soundtrack),11ny05LTGSQ8xE1lVcxSRD,2021-02-16,single,60461,False,1,1,0.866,0.148,2,-18.764,0,0.257,0.981,0.657,0.108,0.724,130.139,3MeMrgbyc2Q4EIlTZP9sAx,spotify:artist:3MeMrgbyc2Q4EIlTZP9sAx,[],0
#Relaxing Moods,Inspired Music for Positive Affirmations,3jMs5cBKrvXaUXLAuUiLsT,0,Ambiance for Peace and Serenity,4a8DmPrkE9pZzFTMYirNPo,2021-06-15,album,135233,False,1,1,0.204,0.0222,9,-15.841,1,0.0414,0.966,0.86,0.131,0.134,129.843,5kXg1itekzWTPP57JOy0eC,spotify:artist:5kXg1itekzWTPP57JOy0eC,[],0
TiniT,Nobody Knows,357MYRGveVowtb8j1szzPa,0,Soft Smile,601u9iOXKonYF38M1Zgm7N,2021-10-16,single,243808,False,2,1,0.725,0.674,11,-6.565,0,0.0736,0.0145,0.0165,0.129,0.607,127.994,2vmmbqL9K6rO20kpIAKJkq,spotify:artist:2vmmbqL9K6rO20kpIAKJkq,[],0
Spa Music Vintage,Carefree Self Care,5qZQyt3C7ZAHXXFYTHkBzZ,0,Music for Deep Rejuvenation,720jR0g0yELUcN2FqKn29Z,2021-03-28,album,129009,False,5,1,0.655,0.304,9,-14.447,1,0.0374,0.95,0.839,0.109,0.339,133.998,0Jj8UjxoKaTouN7jVakvca,spotify:artist:0Jj8UjxoKaTouN7jVakvca,[],0
Coffee & Jazz Lounge,Inspired Music for Freshly Roasted Coffee,5NpIhFVUvsDy9b2dyzdYsU,0,Backdrop for Freshly Roasted Coffee,3zLEswzDi48Qi9OMsAZCxb,2021-01-06,album,121765,False,1,1,0.589,0.114,0,-18.701,1,0.0426,0.935,0.912,0.0999,0.392,141.603,3QBMBiHCuC09dLD41ZrHhQ,spotify:artist:3QBMBiHCuC09dLD41ZrHhQ,[],0
Excellent Coffee & Jazz,High-class Boutique Coffee Shops,18erJaqnshpPUX1JPXVgIG,0,Soulful Trio Jazz - Bgm for Boutique Coffee Shops,0Pkik2EFmoNZ72DrvQk7LN,2021-01-01,album,144056,False,5,1,0.477,0.124,5,-19.944,0,0.0523,0.981,0.956,0.111,0.264,181.707,4fVwrKOWaEHEJYmhADIa5N,spotify:artist:4fVwrKOWaEHEJYmhADIa5N,[],0
Jazz Relaxant Romance,Savante,0V3iF5y043Cpxr6Ci9gRkV,0,Decontracte Jazz Relaxant,3882izNUxo5M5Z0Yr2oJfd,2021-05-26,album,130960,False,10,1,0.613,0.112,6,-18.145,0,0.0476,0.989,0.948,0.0948,0.559,131.824,3pw67xyfdm9MDLeUIYLWQh,spotify:artist:3pw67xyfdm9MDLeUIYLWQh,[],0
